Latitude, Heading, Longitude, Heading, Time, GPS Altitude, GPS Altitude Units, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
5046.22300,N,00152.85185,W,185049.00,0.0,M,21,38,41,None,238736.84210526323,542058.252427185,187478.26086956525,0.4641399289245519,0.1027337572535857,0.03139264422115307,0.19942211013309688,14.695264893814237,88.44298248965288,1016.5304364037398,-27.27542444184108,0.88715,0
5046.22425,N,00152.85451,W,185050.00,0.0,M,21,38,41,None,237333.33333333337,542058.252427185,188444.4444444445,0.372878067740323,0.17957387703602418,0.21964525481090952,0.25736573319575223,14.725052426685783,88.40126659524203,1016.5287240154889,-27.26120527038517,0.88715,3
5046.22546,N,00152.85704,W,185051.00,0.0,M,23,42,45,None,237333.33333333337,547921.5686274517,187478.26086956525,1.2873401895878793,0.5674052774804342,0.0711943934953749,0.6419799535212295,14.752277599738681,88.28041131140466,1016.5343440136133,-27.307872019302486,0.88715,3
5046.22692,N,00152.85971,W,185052.00,0.0,M,23,42,45,None,237333.33333333337,547921.5686274517,190400.0,0.5642845234111293,0.2568778506818174,0.20979204389797493,0.3436514726636406,14.76252707878093,88.16891156821447,1016.5298820778297,-27.270821483649925,0.88715,2
5046.22841,N,00152.86244,W,185053.00,0.0,M,23,42,45,None,234566.03773584918,542058.252427185,186519.6850393701,0.39618442720830943,0.14597070556711003,0.13913229174181668,0.22709580817241207,14.782385447738125,87.94581388805538,1016.549748601123,-27.435785940651378,0.88715,0
5046.22984,N,00152.86509,W,185054.00,0.0,M,22,38,41,None,233201.87793427237,542058.252427185,186519.6850393701,0.39697180584210373,0.12553444174919387,0.03901864210787175,0.18717496323305646,14.804165599361294,87.60458592556579,1016.5695036517311,-27.599822180145622,0.0,0
5046.23100,N,00152.86722,W,185055.00,0.0,M,23,39,42,None,231850.46728971967,542058.252427185,186519.6850393701,0.3241887514679751,0.12082082573916064,0.07133114752221832,0.1721135749097847,14.814094787875206,87.49863278721902,1016.577777511531,-27.668523482134148,0.0,0
5046.23236,N,00152.86941,W,185056.00,0.0,M,23,39,42,None,230511.62790697673,542058.252427185,185568.62745098048,0.4045405004179152,0.22881821073451575,0.2969017280245341,0.3100868130589884,14.834593761166456,87.23605915668392,1016.5904164978839,-27.773469372865613,0.0,6
5046.23360,N,00152.87154,W,185057.00,0.0,M,23,41,43,None,231850.46728971967,553900.99009901,189418.32669322717,1.574150306646784,0.7906419564889727,0.15523701482959862,0.8400097593217851,14.853811552856154,86.97330067490495,1016.585984422487,-27.736668432733406,0.0,1
5046.23525,N,00152.87374,W,185058.00,0.0,M,23,41,43,None,230511.62790697673,547921.5686274517,186519.6850393701,0.7468148119113235,0.08277152630992074,0.10278920169935753,0.3107918466402006,14.867264009474116,86.74369196446243,1016.5818853969573,-27.702632796576342,0.0,2
5046.23688,N,00152.87561,W,185059.00,0.0,M,24,42,43,None,229185.18518518528,547921.5686274517,186519.6850393701,0.46847005034368516,0.15023793356421306,0.07712826670883349,0.2319454168722439,14.872709052008668,86.5075559098393,1016.5727201543301,-27.626530193910387,0.88715,0
5046.23855,N,00152.87790,W,185100.00,0.0,M,24,44,44,None,231850.46728971967,553900.99009901,188444.4444444445,0.6752666876547685,0.2655043040584197,0.10747484153430924,0.34941527774916575,14.87623231500022,86.27119164435997,1016.5835767278793,-27.716676519571354,0.0,0
5046.24031,N,00152.88006,W,185101.00,0.0,M,24,43,43,None,230511.62790697673,547921.5686274517,186519.6850393701,0.4938230832716318,0.12348364437574401,0.09171641528400033,0.23634104764379205,14.865342229834482,86.05582180655176,1016.5886336564271,-27.75866588541269,1.16185,0
5046.24234,N,00152.88190,W,185102.00,0.0,M,23,43,44,None,229185.18518518528,547921.5686274517,187478.26086956525,0.9298691751565077,0.20624294237524488,0.06884943814779862,0.40165385189318376,14.839718505216865,85.67540433520392,1016.5773998636868,-27.66538772474249,1.16185,0
5046.24431,N,00152.88348,W,185103.00,0.0,M,23,42,43,None,230511.62790697673,553900.99009901,187478.26086956525,0.33728683901840734,0.08846407098489999,0.030016235589518853,0.1519223818642754,14.811532416541217,85.47512227609141,1016.5801377630385,-27.688121549878943,1.16185,0
