GPS sentence prefix, Latitude, Heading, Longitude, Heading, Time, Data Valid, Checksum, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
$GPGLL,5043.47242,N,00157.03110,W,072631.00,A,A*7F,5,8,10,None,11469.879518072292,470495.7264957265,572571.4285714285,0.239090858680957,0.1488285270617105,0.14368855111502546,0.17720264561923096,21.611563309590043,55.08644866280305,1009.5275209073075,31.03755955069145,231.43985,1285
$GPGLL,5043.47228,N,00157.03128,W,072632.00,A,A*7B,5,8,10,None,11469.879518072292,466033.8983050852,566222.2222222228,0.2748390639118505,0.16812617653047607,0.09021919114886814,0.17772814386373156,21.6179952254701,55.266226620416205,1009.5196153068395,31.103573985648918,242.505,1280
$GPGLL,5043.47231,N,00157.03125,W,072633.00,A,A*7F,5,8,10,None,11469.879518072292,400296.29629629647,560000.0000000003,0.20274242964278408,0.09237444524682321,0.1270880588105657,0.14073497790005765,21.628607887666384,55.38821796312241,1009.5167719870619,31.127316768810118,242.1361,1267
$GPGLL,5043.47235,N,00157.03121,W,072634.00,A,A*78,5,8,10,None,11469.879518072292,377802.8169014087,553900.99009901,0.24570729668572375,0.133357245594817,0.1266512874887754,0.16857194325643873,21.635361400617718,55.475327726327784,1009.5193355652012,31.105909930515203,235.71835,1285
$GPGLL,5043.47251,N,00157.03081,W,072635.00,A,A*70,5,9,11,None,11469.879518072292,357422.8187919466,547921.5686274517,0.2843567253758869,0.1612309379915658,0.09215062372237841,0.17924609569661035,21.650154811691596,55.45844688747664,1009.5149183999271,31.142794943528965,231.43985,1278
$GPGLL,5043.47273,N,00157.03047,W,072636.00,A,A*79,6,9,12,None,11469.879518072292,380879.43262411345,542058.252427185,0.23017212255118755,0.06902994257752834,0.05318097812504976,0.11746101441792188,21.66526982114301,55.401026559596566,1009.5126760309831,31.161519628581377,239.62795,1283
$GPGLL,5043.47274,N,00157.03050,W,072637.00,A,A*79,5,8,8,None,11469.879518072292,387165.4676258995,542058.252427185,0.22908163696435171,0.10147445822204164,0.14691486678335447,0.15915698732324926,21.67877685299036,55.44202753886121,1009.5128244047627,31.160280646640363,237.8576,1280
$GPGLL,5043.47276,N,00157.03050,W,072638.00,A,A*74,5,8,9,None,11469.879518072292,374769.2307692309,536307.6923076926,0.26897242458645676,0.12243471898946773,0.11385784176468561,0.16842166178020337,21.69357027112419,55.44252256523569,1009.5017682386652,31.25260457400895,238.4661,1288
$GPGLL,5043.47284,N,00157.03035,W,072639.00,A,A*7B,5,8,9,None,11469.879518072292,317333.33333333355,530666.6666666667,0.218113321215801,0.09666551027046114,0.13046888089034037,0.14841590412553415,21.70900688391557,55.350345959319405,1009.5016986779988,31.25318543924748,231.43985,1275
$GPGLL,5043.47292,N,00157.03016,W,072640.00,A,A*73,5,8,9,None,11469.879518072292,360216.2162162163,525132.0754716988,0.22535516529973712,0.11350245692089973,0.07689043751244974,0.13858268657769554,21.728945845981162,55.345215094072415,1009.4939341932737,31.31802284927126,252.6669,1288
$GPGLL,5043.47295,N,00157.03005,W,072641.00,A,A*77,5,8,9,None,11543.859649122807,349263.15789473685,525132.0754716988,0.20499430772308683,0.07921856871892186,0.07910001134306342,0.12110429592835736,21.75306556399794,55.37498609913218,1009.4862514677391,31.382177925762974,194.3881,1247
$GPGLL,5043.47303,N,00157.02984,W,072642.00,A,A*7B,5,8,9,None,11543.859649122807,338871.7948717949,519700.9345794397,0.23860688682548534,0.1490642490144135,0.1454138149959412,0.1776949836119467,21.773326132073997,55.40463110918522,1009.475680905683,31.4704487065763,104.47035,1235
$GPGLL,5043.47314,N,00157.02959,W,072643.00,A,A*7C,5,8,9,None,11469.879518072292,341419.35483870975,514370.3703703706,0.2388082805927045,0.14584198498601553,0.14190253937987438,0.1755176016528648,21.789084354808278,55.457305100442206,1009.4595303434165,31.605317411968233,120.8255,1246
$GPGLL,5043.47287,N,00157.02929,W,072644.00,A,A*77,5,8,9,None,11469.879518072292,351947.01986754977,514370.3703703706,0.2578609691771494,0.15424926972623548,0.1480510891770712,0.18672044269348534,21.795516283239362,55.41695958194506,1009.4499579047385,31.685254921847925,138.0104,1078
